problem,solver,settings,cost,iterations,runtime,status
20_10*2_Problem_set_prob_0,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.34460006444715e-05,0
20_10*2_Problem_set_prob_0,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.288900037063286e-05,0
20_10*2_Problem_set_prob_0,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.988099969225004e-05,0
20_10*2_Problem_set_prob_1,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.122799772536382e-05,0
20_10*2_Problem_set_prob_1,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.2349000624381e-05,0
20_10*2_Problem_set_prob_1,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.885500235715881e-05,0
20_10*2_Problem_set_prob_2,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.099499973468482e-05,0
20_10*2_Problem_set_prob_2,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.266599954571575e-05,0
20_10*2_Problem_set_prob_2,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.851699774619192e-05,0
20_10*2_Problem_set_prob_3,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.138799967127852e-05,0
20_10*2_Problem_set_prob_3,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.326899817097001e-05,0
20_10*2_Problem_set_prob_3,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.941500007291324e-05,0
20_10*2_Problem_set_prob_4,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.086800153250806e-05,0
20_10*2_Problem_set_prob_4,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.285600026487373e-05,0
20_10*2_Problem_set_prob_4,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.898300100350752e-05,0
20_10*2_Problem_set_prob_5,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.076200174400583e-05,0
20_10*2_Problem_set_prob_5,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.257100100512616e-05,0
20_10*2_Problem_set_prob_5,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.928900231490843e-05,0
20_10*2_Problem_set_prob_6,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.109099871944636e-05,0
20_10*2_Problem_set_prob_6,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.212700024363585e-05,0
20_10*2_Problem_set_prob_6,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.889699918450788e-05,0
20_10*2_Problem_set_prob_7,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.077199890976772e-05,0
20_10*2_Problem_set_prob_7,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.23589977901429e-05,0
20_10*2_Problem_set_prob_7,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.927800106699578e-05,0
20_10*2_Problem_set_prob_8,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.14300001366064e-05,0
20_10*2_Problem_set_prob_8,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.252900053979829e-05,0
20_10*2_Problem_set_prob_8,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.84639996709302e-05,0
20_10*2_Problem_set_prob_9,FULL_CONDENSING_HPIPM,default,0.0,1.0,8.047500159591436e-05,0
20_10*2_Problem_set_prob_9,FULL_CONDENSING_QPOASES,default,0.0,1.0,9.395700180903077e-05,0
20_10*2_Problem_set_prob_9,PARTIAL_CONDENSING_HPIPM,default,0.0,1.0,7.872800051700324e-05,0
